Foto,"Mediciones(valor, error)[cm]"
164151598,"0.036370163857267775, 0.0001626523174753134"
171219177,"2.296959733953102, 9.390735927868866e-05"
171340262,"0.7074775302483484, 4.695367963934433e-05"
171442093,"0.6632895475931588, 4.904151894067102e-05"
172921941,"0.5795564625336181, 4.1996647786928694e-05"
172631960,"0.47877314421161155, 3.8337518887500434e-05"
171539519,"0.5967078855803988, 4.347066036838619e-05"
172723255,"0.36206564253727125, 3.253046349506268e-05"
171740093,"0.5551201745932773, 4.066307936882835e-05"
171839967,"0.3146640920192636, 2.9213218605508542e-05"
171921081,"0.2829663581321651, 3.073839872914317e-05"
172116591,"0.27298207401376157, 2.8314134161864544e-05"
172238962,"0.2610596641547268, 2.8314134161864544e-05"
172421706,"0.2521178567604507, 2.71087195792189e-05"
